ts_sec,open,high,low,close,volume
1780070400,82.54,83.21,81.53,82.03,3811041.84
1780084800,82.02,82.37,81.58,81.98,1421112.63
1780099200,81.98,83.06,81.89,82.64,1573806.74
1780113600,82.63,82.84,81.79,82.34,1886947.39
1780128000,82.34,82.51,82.14,82.28,724782.87
1780142400,82.28,82.89,82.2,82.65,1464209.35
1780156800,82.65,83.11,82.58,82.94,1260110.27
1780171200,82.95,83.13,82.4,82.69,1163178.95
1780185600,82.69,83.37,82.57,83.18,1301371.81
1780200000,83.18,83.26,82.46,82.61,1015765.57
1780214400,82.62,83.02,82.43,82.71,1214266.51
1780228800,82.71,83.09,81.69,81.83,2654450.24
1780243200,81.83,81.99,81.28,81.54,1674595.74
1780257600,81.55,82.91,81.55,82.39,2108863.13
1780272000,82.4,83.08,81.57,82.59,2831981.04
1780286400,82.59,82.74,80.57,80.67,3151906.65
1780300800,80.67,81.24,80.38,80.78,2317973.59
1780315200,80.78,81.04,79.15,79.56,6426069.07
1780329600,79.57,81.3,79.06,81.16,4266203.92
1780344000,81.16,81.66,80.28,81.25,3147161.12
1780358400,81.25,81.27,79.36,80.88,3045781.86
1780372800,80.88,80.99,79.09,79.63,3429587.28
1780387200,79.63,79.77,78.71,78.89,3019944.27
1780401600,78.89,79.19,75.44,76.32,9089244.85
1780416000,76.33,77.63,74.37,75.47,5988399.65
1780430400,75.47,76.03,72.67,74.18,6841296.78
1780444800,74.18,75.08,72.21,72.66,4544324.35
1780459200,72.66,75.39,72.64,75.21,4210344.73
1780473600,75.21,75.67,74.66,75.09,2729462.89
1780488000,75.09,75.34,73.17,73.24,4740234.66
1780502400,73.25,74.06,71.63,71.94,7519340.4
1780516800,71.94,73.14,70.84,71.58,5710406.32
1780531200,71.57,72.06,66.59,71.42,14300224.49
1780545600,71.41,71.74,69.08,69.1,5381651.61
1780560000,69.11,69.41,67.32,68.63,7851234.37
1780574400,68.63,70.6,68.27,69.61,7433093.48
1780588800,69.61,69.86,68.44,69.05,4215154.07
1780603200,69.04,69.1,67.51,68.82,4102132.73
1780617600,68.81,69.06,66.88,67.05,5905745.3
1780632000,67.05,68.05,63.74,66.11,14066389.14
1780646400,66.12,66.75,65.02,66.04,5155526.38
1780660800,66.03,66.79,63.73,64.2,11904162.27
1780675200,64.2,66.04,61.4,63.38,14160546.44
1780689600,63.39,65.38,62.6,63.6,6898185.41
1780704000,63.6,64.82,62.52,62.79,4040908.77
1780718400,62.79,63.31,60.03,62.75,10146501.62
1780732800,62.75,63.58,61.13,62.4,5242096.2
1780747200,62.4,63.06,61.26,62.01,5082065.42
1780761600,62.01,62.38,61.33,61.59,3745848.37
1780776000,61.59,62.34,61.31,62.16,2955842.31
1780790400,62.16,64.18,61.91,63.77,5826575.84
1780804800,63.77,64.97,63.25,64.87,4482713.5
1780819200,64.86,66.07,64.35,64.97,5339968.99
1780833600,64.96,65.31,63.58,64.93,5282349.22
1780848000,64.93,65.58,63.56,63.89,4083337.95
1780862400,63.88,67.9,63.67,66.45,7148635.51
1780876800,66.46,67.07,65.33,66.3,3810969.41
1780891200,66.31,66.37,64.92,66.06,3384741.47
1780905600,66.06,67.03,65.4,66.65,3641151.72
1780920000,66.65,67.78,65.95,67.14,5718192.84
1780934400,67.15,67.79,66.5,67.44,3526981.75
1780948800,67.44,68.16,66.61,66.79,3170456.01
1780963200,66.78,66.85,65.23,65.97,4439546.43
1780977600,65.97,67.45,65.78,66.85,4448421.75
1780992000,66.86,66.9,65.84,66.07,3190822.56
1781006400,66.07,66.49,64.22,64.29,7920044.95
1781020800,64.28,65.63,63.5,65.38,6688645.28
1781035200,65.38,65.68,64.64,64.92,2057497.2
1781049600,64.93,65.27,64.2,64.48,2573453.63
1781064000,64.47,64.74,63.78,64.45,2311561.68
1781078400,64.46,64.48,62.91,63.47,4393624.55
1781092800,63.47,65.74,63.26,65.4,8641793.51
1781107200,65.41,65.44,63.31,63.52,4766406.49
1781121600,63.51,63.62,62.29,63.16,3758107.14
1781136000,63.16,65.45,63.15,65.23,4700983.05
1781150400,65.23,65.41,64.73,65.02,2458543.34
1781164800,65.01,66.3,64.98,65.85,4200185.18
